ID#,Marca,Modelo,Versión,Potencia (cv),Puertas,Combustible,CO2,Precio (€),Tracción,Transmisión,Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Carrocería,Peso (kg),Largo (mm),Ancho (mm),Alto (mm)
77,Audi,A1 Citycarver,35 TFSI S tronic,150,5.0,Gasolina,verde,29399.0,Tracción delantera,Automática secuencial ,120.0,754.7,5.3,24.0,1498.0,40.0,7,220.0,8.2,5000.0,250.0,Todo Terreno ,1280.0,4046.0,1756.0,1483.0
78,Audi,A1 Citycarver,35 TFSI Black line,150,5.0,Gasolina,verde,29456.0,Tracción delantera,Manual ,120.0,754.7,5.3,24.0,1498.0,40.0,6,220.0,8.2,5000.0,250.0,Todo Terreno ,1275.0,4046.0,1756.0,1483.0
79,Audi,A1 Citycarver,35 TFSI (4.75),150,5.0,Gasolina,ambar,29634.0,Tracción delantera,Manual ,124.0,754.7,5.3,24.0,1498.0,40.0,6,220.0,8.2,5000.0,250.0,Todo Terreno ,1275.0,4046.0,1756.0,1483.0
80,Audi,A1 Citycarver,30 TFSI Black line S tronic,116,5.0,Gasolina,verde,29666.0,Tracción delantera,Automática secuencial ,117.0,784.3,5.1,24.0,999.0,40.0,7,198.0,9.9,5000.0,200.0,Todo Terreno ,1245.0,4046.0,1756.0,1483.0
81,Audi,A1 Citycarver,35 TFSI Black line (4.75),150,5.0,Gasolina,ambar,30612.0,Tracción delantera,Manual ,124.0,754.7,5.3,24.0,1498.0,40.0,6,220.0,8.2,5000.0,250.0,Todo Terreno ,1275.0,4046.0,1756.0,1483.0
82,Audi,A1 Citycarver,35 TFSI S tronic (4.75),150,5.0,Gasolina,ambar,30997.0,Tracción delantera,Automática secuencial ,122.0,754.7,5.3,24.0,1498.0,40.0,7,220.0,8.2,5000.0,250.0,Todo Terreno ,1280.0,4046.0,1756.0,1483.0
83,Audi,A1 Citycarver,35 TFSI Black line S tronic,150,5.0,Gasolina,verde,31336.0,Tracción delantera,Automática secuencial ,120.0,754.7,5.3,24.0,1498.0,40.0,7,220.0,8.2,5000.0,250.0,Todo Terreno ,1280.0,4046.0,1756.0,1483.0
84,Audi,A1 Citycarver,35 TFSI Black line S tron...,150,5.0,Gasolina,ambar,32566.0,Tracción delantera,Automática secuencial ,122.0,754.7,5.3,24.0,1498.0,40.0,7,220.0,8.2,5000.0,250.0,Todo Terreno ,1280.0,4046.0,1756.0,1483.0
85,Audi,A3,Sportback 30 TFSI,110,5.0,Gasolina,verde,27529.0,Tracción delantera,Manual ,106.0,937.5,4.8,24.0,999.0,45.0,6,204.0,10.6,5500.0,200.0,Berlina ,1295.0,4343.0,1816.0,1449.0
86,Audi,A3,30 TFSI,110,4.0,Gasolina,verde,28429.0,Tracción delantera,Manual ,104.0,1000.0,4.5,24.0,999.0,45.0,6,210.0,10.6,5500.0,200.0,Berlina ,1300.0,4495.0,1816.0,1425.0
87,Audi,A3,Sportback 35 TFSI,150,5.0,Gasolina,verde,28829.0,Tracción delantera,Manual ,111.0,1041.7,4.8,24.0,1498.0,50.0,6,224.0,8.4,5000.0,250.0,Berlina ,1355.0,4343.0,1816.0,1449.0
88,Audi,A3,Sportback 30 TFSI Advanced,110,5.0,Gasolina,verde,29529.0,Tracción delantera,Manual ,108.0,937.5,4.8,24.0,999.0,45.0,6,204.0,10.6,5500.0,200.0,Berlina ,1295.0,4343.0,1816.0,1449.0
89,Audi,A3,35 TFSI,150,4.0,Gasolina,verde,29729.0,Tracción delantera,Manual ,108.0,1041.7,4.8,24.0,1498.0,50.0,6,232.0,8.4,5000.0,250.0,Berlina ,1360.0,4495.0,1816.0,1425.0
90,Audi,A3,Sportback 30TDI,116,5.0,Diésel,verde,29769.0,Tracción delantera,Manual ,92.0,1428.6,3.5,24.0,1968.0,50.0,6,206.0,10.1,2750.0,300.0,Berlina ,1420.0,4343.0,1816.0,1449.0
91,Audi,A3,30 TFSI Advanced,110,4.0,Gasolina,verde,30429.0,Tracción delantera,Manual ,106.0,1000.0,4.5,24.0,999.0,45.0,6,210.0,10.6,5500.0,200.0,Berlina ,1300.0,4495.0,1816.0,1425.0
92,Audi,A3,30TDI,116,4.0,Diésel,verde,30669.0,Tracción delantera,Manual ,90.0,1323.5,3.4,24.0,1968.0,45.0,6,210.0,10.1,2750.0,300.0,Berlina ,1425.0,4495.0,1816.0,1425.0
93,Audi,A3,Sportback 35 TFSI Advanced,150,5.0,Gasolina,verde,30829.0,Tracción delantera,Manual ,113.0,1020.4,4.9,24.0,1498.0,50.0,6,224.0,8.4,5000.0,250.0,Berlina ,1355.0,4343.0,1816.0,1449.0
94,Audi,A3,Sportback 30 TFSI S line,110,5.0,Gasolina,verde,30879.0,Tracción delantera,Manual ,108.0,937.5,4.8,24.0,999.0,45.0,6,204.0,10.6,5500.0,200.0,Berlina ,1295.0,4343.0,1816.0,1449.0
95,Audi,A3,Sportback 35 TFSI S tronic,150,5.0,Gasolina,verde,31009.0,Tracción delantera,Automática secuencial ,109.0,1041.7,4.8,24.0,1498.0,50.0,7,224.0,8.4,5000.0,250.0,Berlina ,1395.0,4343.0,1816.0,1449.0
96,Audi,A3,35 TFSI Advanced,150,4.0,Gasolina,verde,31729.0,Tracción delantera,Manual ,111.0,1041.7,4.8,24.0,1498.0,50.0,6,232.0,8.4,5000.0,250.0,Berlina ,1360.0,4495.0,1816.0,1425.0
97,Audi,A3,Sportback 30TDI Advanced,116,5.0,Diésel,verde,31769.0,Tracción delantera,Manual ,94.0,1388.9,3.6,24.0,1968.0,50.0,6,206.0,10.1,2750.0,300.0,Berlina ,1420.0,4343.0,1816.0,1449.0
