ID#,BRAND,MODEL,VERSION1,POTENCIA1 (cv),PUERTAS,COMBUSTIBLE,CO2,PRECIO,Tracción,Transmisión,Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Carrocería,Peso (kg),Largo (mm),Ancho (mm),Alto (mm)
72,Audi,Audi - A1 Citycarver,A1 Citycarver 35 TFSI,150,5,Gasolina,verde,"27,519 €",Tracción delantera ,Manual ,120,754.7,5.3,24,1498,40,6,220,8.2,5000,250,Todo Terreno ,1275,4046,1756,1483
73,Audi,Audi - A1 Citycarver,A1 Citycarver 30 TFSI S tronic,116,5,Gasolina,verde,"27,729 €",Tracción delantera ,Automática secuencial ,117,784.3,5.1,24,999,40,7,198,9.9,5000,200,Todo Terreno ,1245,4046,1756,1483
74,Audi,Audi - A1 Citycarver,A1 Citycarver 30 TFSI Black line,116,5,Gasolina,verde,"27,786 €",Tracción delantera ,Manual ,119,769.2,5.2,24,999,40,6,198,9.9,5000,200,Todo Terreno ,1215,4046,1756,1483
75,Audi,Audi - A1 Citycarver,A1 Citycarver 30 TFSI (4.75),116,5,Gasolina,ambar,"28,739 €",Tracción delantera ,Manual ,122,740.7,5.4,24,999,40,6,198,9.9,5000,200,Todo Terreno ,1215,4046,1756,1483
76,Audi,Audi - A1 Citycarver,A1 Citycarver 30 TFSI Black line (4.75),116,5,Gasolina,ambar,"28,877 €",Tracción delantera ,Manual ,122,740.7,5.4,24,999,40,6,198,9.9,5000,200,Todo Terreno ,1215,4046,1756,1483
77,Audi,Audi - A1 Citycarver,A1 Citycarver 35 TFSI S tronic,150,5,Gasolina,verde,"29,399 €",Tracción delantera ,Automática secuencial ,120,754.7,5.3,24,1498,40,7,220,8.2,5000,250,Todo Terreno ,1280,4046,1756,1483
78,Audi,Audi - A1 Citycarver,A1 Citycarver 35 TFSI Black line,150,5,Gasolina,verde,"29,456 €",Tracción delantera ,Manual ,120,754.7,5.3,24,1498,40,6,220,8.2,5000,250,Todo Terreno ,1275,4046,1756,1483
79,Audi,Audi - A1 Citycarver,A1 Citycarver 35 TFSI (4.75),150,5,Gasolina,ambar,"29,634 €",Tracción delantera ,Manual ,124,754.7,5.3,24,1498,40,6,220,8.2,5000,250,Todo Terreno ,1275,4046,1756,1483
80,Audi,Audi - A1 Citycarver,A1 Citycarver 30 TFSI Black line S tronic,116,5,Gasolina,verde,"29,666 €",Tracción delantera ,Automática secuencial ,117,784.3,5.1,24,999,40,7,198,9.9,5000,200,Todo Terreno ,1245,4046,1756,1483
81,Audi,Audi - A1 Citycarver,A1 Citycarver 35 TFSI Black line (4.75),150,5,Gasolina,ambar,"30,612 €",Tracción delantera ,Manual ,124,754.7,5.3,24,1498,40,6,220,8.2,5000,250,Todo Terreno ,1275,4046,1756,1483
82,Audi,Audi - A1 Citycarver,A1 Citycarver 35 TFSI S tronic (4.75),150,5,Gasolina,ambar,"30,997 €",Tracción delantera ,Automática secuencial ,122,754.7,5.3,24,1498,40,7,220,8.2,5000,250,Todo Terreno ,1280,4046,1756,1483
83,Audi,Audi - A1 Citycarver,A1 Citycarver 35 TFSI Black line S tronic,150,5,Gasolina,verde,"31,336 €",Tracción delantera ,Automática secuencial ,120,754.7,5.3,24,1498,40,7,220,8.2,5000,250,Todo Terreno ,1280,4046,1756,1483
84,Audi,Audi - A1 Citycarver,A1 Citycarver 35 TFSI Black line S tron...,150,5,Gasolina,ambar,"32,566 €",Tracción delantera ,Automática secuencial ,122,754.7,5.3,24,1498,40,7,220,8.2,5000,250,Todo Terreno ,1280,4046,1756,1483
85,Audi,Audi - A3,A3 Sportback 30 TFSI,110,5,Gasolina,verde,"27,529 €",Tracción delantera ,Manual ,106,937.5,4.8,24,999,45,6,204,10.6,5500,200,Berlina ,1295,4343,1816,1449
86,Audi,Audi - A3,A3 30 TFSI,110,4,Gasolina,verde,"28,429 €",Tracción delantera ,Manual ,104,1000,4.5,24,999,45,6,210,10.6,5500,200,Berlina ,1300,4495,1816,1425
87,Audi,Audi - A3,A3 Sportback 35 TFSI,150,5,Gasolina,verde,"28,829 €",Tracción delantera ,Manual ,111,1041.7,4.8,24,1498,50,6,224,8.4,5000,250,Berlina ,1355,4343,1816,1449
88,Audi,Audi - A3,A3 Sportback 30 TFSI Advanced,110,5,Gasolina,verde,"29,529 €",Tracción delantera ,Manual ,108,937.5,4.8,24,999,45,6,204,10.6,5500,200,Berlina ,1295,4343,1816,1449
89,Audi,Audi - A3,A3 35 TFSI,150,4,Gasolina,verde,"29,729 €",Tracción delantera ,Manual ,108,1041.7,4.8,24,1498,50,6,232,8.4,5000,250,Berlina ,1360,4495,1816,1425
90,Audi,Audi - A3,A3 Sportback 30TDI,116,5,Diesel,verde,"29,769 €",Tracción delantera ,Manual ,92,1428.6,3.5,24,1968,50,6,206,10.1,2750,300,Berlina ,1420,4343,1816,1449
91,Audi,Audi - A3,A3 30 TFSI Advanced,110,4,Gasolina,verde,"30,429 €",Tracción delantera ,Manual ,106,1000,4.5,24,999,45,6,210,10.6,5500,200,Berlina ,1300,4495,1816,1425
92,Audi,Audi - A3,A3 30TDI,116,4,Diesel,verde,"30,669 €",Tracción delantera ,Manual ,90,1323.5,3.4,24,1968,45,6,210,10.1,2750,300,Berlina ,1425,4495,1816,1425
93,Audi,Audi - A3,A3 Sportback 35 TFSI Advanced,150,5,Gasolina,verde,"30,829 €",Tracción delantera ,Manual ,113,1020.4,4.9,24,1498,50,6,224,8.4,5000,250,Berlina ,1355,4343,1816,1449
94,Audi,Audi - A3,A3 Sportback 30 TFSI S line,110,5,Gasolina,verde,"30,879 €",Tracción delantera ,Manual ,108,937.5,4.8,24,999,45,6,204,10.6,5500,200,Berlina ,1295,4343,1816,1449
95,Audi,Audi - A3,A3 Sportback 35 TFSI S tronic,150,5,Gasolina,verde,"31,009 €",Tracción delantera ,Automática secuencial ,109,1041.7,4.8,24,1498,50,7,224,8.4,5000,250,Berlina ,1395,4343,1816,1449
96,Audi,Audi - A3,A3 35 TFSI Advanced,150,4,Gasolina,verde,"31,729 €",Tracción delantera ,Manual ,111,1041.7,4.8,24,1498,50,6,232,8.4,5000,250,Berlina ,1360,4495,1816,1425
97,Audi,Audi - A3,A3 Sportback 30TDI Advanced,116,5,Diesel,verde,"31,769 €",Tracción delantera ,Manual ,94,1388.9,3.6,24,1968,50,6,206,10.1,2750,300,Berlina ,1420,4343,1816,1449
98,Audi,Audi - A3,A3 30 TFSI S line,110,4,Gasolina,verde,"31,779 €",Tracción delantera ,Manual ,108,957.4,4.7,24,999,45,6,210,10.6,5500,200,Berlina ,1300,4495,1816,1425
99,Audi,Audi - A3,A3 Sportback 30 TFSI Genuine,110,5,Gasolina,verde,"31,879 €",Tracción delantera ,Manual ,108,937.5,4.8,24,999,45,6,204,10.6,5500,200,Berlina ,1295,4343,1816,1449
100,Audi,Audi - A3,A3 35 TFSI S tronic,150,4,Gasolina,verde,"31,909 €",Tracción delantera ,Automática secuencial ,107,1063.8,4.7,24,1498,50,7,232,8.4,5000,250,Berlina ,1395,4495,1816,1425
101,Audi,Audi - A3,A3 Sportback 30 TFSI Black line,110,5,Gasolina,verde,"32,029 €",Tracción delantera ,Manual ,108,937.5,4.8,24,999,45,6,204,10.6,5500,200,Berlina ,1295,4343,1816,1449
102,Audi,Audi - A3,A3 Sportback 35 TFSI S line,150,5,Gasolina,verde,"32,179 €",Tracción delantera ,Manual ,115,1020.4,4.9,24,1498,50,6,224,8.4,5000,250,Berlina ,1355,4343,1816,1449
103,Audi,Audi - A3,A3 30TDI Advanced,116,4,Diesel,verde,"32,669 €",Tracción delantera ,Manual ,90,1323.5,3.4,24,1968,45,6,210,10.1,2750,300,Berlina ,1425,4495,1816,1425
104,Audi,Audi - A3,A3 30 TFSI Black line,110,4,Gasolina,verde,"32,929 €",Tracción delantera ,Manual ,108,957.4,4.7,24,999,45,6,210,10.6,5500,200,Berlina ,1300,4495,1816,1425
105,Audi,Audi - A3,A3 Sportback 35 TFSI Advanced S tronic,150,5,Gasolina,verde,"33,009 €",Tracción delantera ,Automática secuencial ,111,1041.7,4.8,24,1498,50,7,224,8.4,5000,250,Berlina ,1395,4343,1816,1449
